o,c,h,l,t
20831.2824601445,20740.95312285242,20837.05992900388,20728.470009078,1736524800000
20742.97531955101,20869.85842888736,20873.42223257909,20730.33869472186,1736528400000
20868.36967430885,21000.8680621281,21005.10595532115,20845.31607252609,1736532000000
21000.90774780078,20920.78163648382,21002.14585039453,20882.25877570217,1736535600000
20919.39749834585,20846.12810933702,20929.31856305666,20818.62697295671,1736539200000
20846.26901330269,20847.58168535725,20847.58168535725,20846.26901330269,1736542800000
20593.64826071645,20637.09967596058,20673.40652731663,20538.32682685986,1736776800000
20637.66374155272,20635.03396250583,20711.03919339633,20553.12129364984,1736780400000
20637.63493928416,20572.64940987064,20658.09435574321,20565.56522737925,1736784000000
20572.14027535983,20721.95721616764,20724.32793390624,20555.08619585336,1736787600000
20721.95125421463,20725.03786248366,20743.12991558431,20692.10807924205,1736791200000
20724.75514533102,20740.1356164575,20756.46286832983,20674.25536816187,1736794800000
20740.09612861582,20784.16184267067,20797.10134404642,20709.1792462135,1736798400000
20783.62766829244,20784.7240639031,20784.7240639031,20783.62766829244,1736802000000
20896.3618185871,20819.92009114722,20969.51667804799,20809.82426984773,1736863200000
20820.76811661025,20779.73731165293,20946.28461641489,20779.73731165293,1736866800000
20779.88594774446,20666.48902875174,20792.41068226118,20665.39558254052,1736870400000
20665.20897735662,20708.32086398967,20722.95439569104,20639.5684697393,1736874000000
20707.95790449795,20833.78123852371,20843.57230949602,20703.3940026686,1736877600000
20833.26548264715,20704.80005436906,20847.27041413062,20701.08868344673,1736881200000
20703.08940805995,20759.19321263546,20759.59642525256,20622.71639729078,1736884800000
20759.83063290377,20757.40982522788,20759.83063290377,20757.40982522788,1736888400000
21067.80547966248,21160.14857345807,21175.06762082115,21024.26609870445,1736949600000
21163.01557060064,21158.32093237994,21234.97983324152,21158.29158275873,1736953200000
21157.45566595096,21108.49519643758,21199.94556046785,21086.96451604476,1736956800000
21108.8826722344,21157.40977800769,21195.85472256926,21102.33531626429,1736960400000
21157.76878206402,21212.64256726059,21225.64638281462,21157.76878206402,1736964000000
21212.9083701847,21250.24677199638,21265.38180177257,21212.53114062239,1736967600000
21251.10564285976,21235.22214782386,21286.01232670919,21230.96020301482,1736971200000
21235.27403119819,21237.85235635203,21237.85235635203,21235.27403119819,1736974800000
21324.97500617855,21213.67689264617,21330.58565490379,21210.46788872368,1737036000000
21215.39719586754,21264.79907395324,21264.79907395324,21179.42536320143,1737039600000
21264.80789633407,21242.23731387105,21312.47830881923,21164.44351955938,1737043200000
21241.44647262813,21228.50627081378,21262.98750106178,21213.84669109816,1737046800000
21228.05976726289,21138.15342731402,21249.82802568068,21111.99416920733,1737050400000
21137.53589377018,21213.29035324211,21218.76324485631,21125.80262739143,1737054000000
21213.56204450668,21090.5194763458,21234.67537131458,21087.85078347553,1737057600000
21089.6482261707,21091.25177650414,21091.25177650414,21089.6482261707,1737061200000
21461.9022454805,21358.21769193027,21467.22876624293,21344.77965200457,1737122400000
21358.35036492981,21441.07976939739,21441.11393630587,21334.6311311033,1737126000000
21440.84148839074,21430.60426937892,21480.34751864398,21419.68048271672,1737129600000
21429.0372598061,21470.94309571589,21473.723104495,21408.93333828744,1737133200000
21470.80518471452,21473.78961564776,21515.76442671258,21459.33723092918,1737136800000
21473.78327229949,21465.95160089915,21486.02362099883,21456.29300055401,1737140400000
21464.73939607458,21443.87534562114,21481.90048178632,21426.7698244103,1737144000000
21441.14209764821,21441.15492288309,21441.15492288309,21441.14209764821,1737147600000
21557.81873234754,21480.43299291762,21564.50984456796,21431.1960962958,1737468000000
21481.78908291656,21484.89557487123,21498.60585278325,21379.06022503934,1737471600000
21485.14339928034,21524.2631315036,21526.92552732903,21451.06803681295,1737475200000
21523.50941072327,21591.81684895297,21593.21562389658,21503.25405978751,1737478800000
21591.0646117322,21603.51818001692,21620.22737635538,21570.79273620231,1737482400000
21603.21619771089,21574.84784895384,21612.10638417056,21550.99353732251,1737486000000
21574.8421191023,21566.32056243104,21606.2161002171,21549.66758358159,1737489600000
21566.10690227623,21566.50668846156,21566.50668846156,21566.10690227623,1737493200000
21756.23294821148,21857.26767935881,21877.19994990453,21756.23294821148,1737554400000
21859.65051921859,21844.3255911006,21891.89415516743,21829.22117768164,1737558000000
21845.76297843584,21925.0709131238,21928.1720122081,21837.62890436865,1737561600000
21925.73926505751,21907.91831896435,21943.03642226582,21896.41768878646,1737565200000
21907.70458043347,21878.00437575831,21909.79743612574,21862.00767742633,1737568800000
21877.83035987091,21890.33971403462,21893.33085789724,21859.13326405212,1737572400000
21890.25817874767,21851.97752868489,21890.49290285187,21832.938648652,1737576000000
21849.73346975709,21852.99633065877,21852.99633065877,21849.73346975709,1737579600000
21737.23842710951,21751.87695447011,21777.29218212094,21722.04013660913,1737640800000
21754.7314181015,21790.54848483384,21798.2573094735,21728.55183960431,1737644400000
21790.88681349899,21801.92288500511,21825.03602381473,21757.22769110631,1737648000000
21801.52172760015,21792.23803007586,21802.03927149637,21759.84212825966,1737651600000
21792.23947247847,21809.20281624556,21838.84289750026,21788.56584022793,1737655200000
21809.00923934836,21810.12799044536,21817.22691620043,21779.05232454643,1737658800000
21809.48608156274,21898.40410137518,21898.40410137518,21801.05639290545,1737662400000
21899.27999037212,21900.92971041112,21900.92971041112,21899.27999037212,1737666000000
21915.47839871788,21925.15346082691,21945.48206362564,21862.36227172443,1737727200000
21927.74714225652,21854.09546589635,21934.52055385085,21849.1965651103,1737730800000
21852.05653246311,21846.64998961066,21900.24715084162,21837.2216644934,1737734400000
21846.63504466247,21805.77099472804,21871.68512240333,21799.65997590459,1737738000000
21804.75659856861,21738.11790418938,21814.65384045805,21731.23927548015,1737741600000
21736.79389616954,21734.5654743955,21760.12921225995,21709.06065197267,1737745200000
21734.05561707485,21770.93605227277,21781.13660587436,21722.33011299173,1737748800000
21771.19230397306,21774.01107995893,21774.01107995893,21771.19230397306,1737752400000
21000.16622622751,21209.00501610463,21213.23355751939,21000.16622622751,1737986400000
21206.36141400609,21189.70877989489,21292.53753675735,21103.985801456,1737990000000
21189.97147843759,21086.64575018281,21200.61649027529,21063.23630289074,1737993600000
21087.3035233508,21015.40811985493,21141.62318374218,21013.93624928278,1737997200000
21014.89960740604,21023.10048231729,21084.36765146402,21014.8668734574,1738000800000
21022.18746604341,21006.78363851453,21128.58982477111,20974.9009243961,1738004400000
21006.41787501888,21131.55519458758,21136.25220628487,21002.28393113163,1738008000000
21127.98243432237,21127.27882471263,21127.98243432237,21127.27882471263,1738011600000
21186.07933796444,21165.11515930963,21199.69421173251,21043.12855614017,1738072800000
21164.37603809562,21332.1591177794,21360.47185932051,21163.79470664597,1738076400000
21332.56707506615,21348.22187832719,21353.58036761189,21266.67542480263,1738080000000
21348.41665239362,21419.0988984703,21437.80864645416,21347.75261317856,1738083600000
21419.23228171701,21416.64143064909,21457.94241071102,21399.43897878216,1738087200000
21416.66111489549,21492.22265265478,21500.72613440681,21393.1300589122,1738090800000
21491.99552894498,21458.329136438,21499.79170780931,21433.33234437282,1738094400000
21459.38534295719,21463.0372586127,21463.0372586127,21459.38534295719,1738098000000
21473.01272478051,21400.46860848261,21477.87764798099,21377.3120148008,1738159200000
21402.28574492577,21382.60507438374,21443.33054137465,21336.93385789415,1738162800000
21382.80613344174,21364.26791694932,21398.96605861331,21349.90938482944,1738166400000
21365.0142000453,21365.0910453654,21420.80983175996,21360.65574658581,1738170000000
21364.60137827018,21344.30155929477,21389.12006660045,21251.80149431664,1738173600000
21343.86580300962,21415.64582659222,21447.94429953599,21272.0216691672,1738177200000
21414.53213154692,21410.07769171666,21475.74319221186,21348.50685209439,1738180800000
21406.79869852667,21411.45795102361,21411.45795102361,21406.79869852667,1738184400000
21519.81415559926,21556.94377970469,21623.45308363961,21477.71878611561,1738245600000
21550.26196391674,21347.85639977181,21550.26196391674,21347.65005155286,1738249200000
21346.84169287738,21487.53251596177,21503.78008299093,21308.69061334987,1738252800000
21487.23955986523,21433.05240330909,21487.23955986523,21388.53252005958,1738256400000
21433.24880688559,21485.17739216991,21491.03424894012,21410.45371137151,1738260000000
21486.20249805258,21538.49203824229,21538.5138033815,21471.70091474469,1738263600000
21538.48962477743,21505.21056333186,21579.31104286549,21410.31219359553,1738267200000
21511.34063197471,21508.12333459918,21511.34063197471,21508.12333459918,1738270800000
21661.56159368085,21749.76476965417,21750.82548929845,21654.3384051384,1738332000000
21749.24164065966,21821.92589548219,21838.94985115893,21749.24164065966,1738335600000
21821.52780644457,21790.53495303414,21846.01163788747,21763.27316822347,1738339200000
21790.9162565687,21801.26241183483,21820.71888315263,21756.39458869466,1738342800000
21801.4811851737,21639.4256506817,21808.93887582961,21611.41622481964,1738346400000
21638.29628507098,21551.2617248755,21662.59117637769,21476.64121029022,1738350000000
21549.89189845932,21473.96981332845,21549.89189845932,21425.78749325868,1738353600000
21471.35671928633,21478.04780707399,21478.04780707399,21471.35671928633,1738357200000
21084.6389584718,21107.68276324753,21194.68424906056,21066.27667878371,1738591200000
21097.79972099294,21315.63388798834,21340.63826852285,21004.35142383496,1738594800000
21313.67809712547,21274.55972991257,21353.67909640373,21238.54479017454,1738598400000
21274.53405903128,21293.71057286181,21338.98543091705,21240.38058266961,1738602000000
21291.69948564503,21357.31084789121,21360.56971506476,21247.21316205882,1738605600000
21356.05861019428,21377.99756422067,21406.57756171801,21342.11821770128,1738609200000
21380.41264860014,21298.25288399476,21396.31366093719,21291.91095113521,1738612800000
21296.58320129799,21297.58216008967,21297.58216008967,21296.58320129799,1738616400000
21319.57567951622,21452.21886753907,21470.12608920445,21308.23615407394,1738677600000
21452.89818076413,21525.0500917231,21568.58957639837,21452.89818076413,1738681200000
21525.98700964628,21544.9366817686,21582.40107079971,21525.98700964628,1738684800000
21545.98216846596,21512.27848961786,21547.34987391005,21447.56533556979,1738688400000
21511.6145231743,21515.36694324741,21536.41987027305,21464.05461127013,1738692000000
21515.17476044726,21530.36463439056,21567.42717418405,21508.29794850319,1738695600000
21529.88973381644,21564.2414067238,21579.72161778344,21519.72796749161,1738699200000
21566.21288311228,21566.91769821134,21566.91769821134,21566.21288311228,1738702800000
21453.867068802,21466.08520064482,21489.15857775805,21423.05845960108,1738764000000
21485.14830126945,21486.27363327289,21500.30167278666,21408.64000598829,1738767600000
21485.84871496218,21601.15288543649,21608.26003395701,21464.0152619241,1738771200000
21602.01342810284,21601.39013494771,21634.52458326435,21582.48450130926,1738774800000
21602.07395380686,21604.10147291426,21615.75376496101,21570.85807063431,1738778400000
21604.16361046347,21602.56175025073,21628.62305536139,21598.99740991916,1738782000000
21602.55292479562,21657.72787628172,21662.98039827801,21584.5522805735,1738785600000
21660.39789474057,21658.16376327201,21660.39789474057,21658.16376327201,1738789200000
21674.17137744968,21692.6000446137,21719.28490062731,21644.48182196112,1738850400000
21690.56111639606,21673.00339800221,21746.32611432201,21643.56837735211,1738854000000
21672.98935309781,21671.20260416858,21711.11829979347,21657.26810526632,1738857600000
21671.74650035207,21712.21432055777,21725.14126811621,21651.2768061986,1738861200000
21712.34479424074,21714.68845874208,21734.40524648246,21703.79155840999,1738864800000
21712.96054970173,21646.50067597283,21727.35862036651,21618.24744712447,1738868400000
21645.81244687543,21771.39465746849,21776.08273234662,21638.23410665043,1738872000000
21772.92166137606,21774.06521333783,21774.06521333783,21772.92166137606,1738875600000
21776.28287756139,21810.33338710215,21869.31969032134,21774.38093253412,1738936800000
21783.9303886383,21622.54860866957,21783.9303886383,21534.82208974921,1738940400000
21625.46608310941,21537.19905486587,21656.01905602424,21521.02206189722,1738944000000
21536.96722296684,21565.51418684091,21588.32407838137,21497.61323730085,1738947600000
21564.91471893583,21532.71907916637,21632.78483037074,21530.82380118957,1738951200000
