symbol,marketFamily,timeframe,entryMode,setupClass,direction,regime,volState,auditGoodOpportunity,netR,grossR,mfeR,maeR,riskAtr,tp2R,exitType
BTC-USD,CRYPTO_SPOT,1h,trigger_close,BREAKOUT,SHORT,TREND_DOWN,NORMAL,True,0.2383342117792535,0.31719784001341295,0.36304825048043654,0.11118005594826173,4.556880209087669,0.31719784001341295,TP2
BTC-USD,CRYPTO_SPOT,1h,retest_limit,BREAKOUT,SHORT,TREND_DOWN,NORMAL,True,0.15392114920277872,0.2407363083120771,0.42038938255605873,0.02495872719703063,4.153922634319322,0.2407363083120771,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,BREAKOUT,SHORT,TREND_DOWN,NORMAL,True,0.11791274807600641,0.1808450561243122,0.5684639567100096,0.03327577080166095,5.672464483675427,0.1808450561243122,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,BREAKOUT,SHORT,TREND_DOWN,NORMAL,True,0.2462958977513242,0.305001126388077,0.46884036685649916,0.0,6.178131995459288,0.305001126388077,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,BREAKOUT,SHORT,TREND_DOWN,NORMAL,True,0.08839716281862714,0.13566645979272832,0.19528938965326667,0.021433905363311315,6.635792603195306,0.13566645979272832,TP2
BTC-USD,CRYPTO_SPOT,1h,retest_limit,BREAKOUT,SHORT,TREND_DOWN,NORMAL,True,0.14616767765921407,0.21416589116430093,0.3910500403000614,0.10430146958902474,4.669277607949462,0.21416589116430093,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,BREAKOUT,SHORT,TREND_DOWN,EXPANSION,False,0.2045624491446284,0.24758084217455162,0.3594877793234555,0.2973930983925038,6.9883508277710895,0.24758084217455162,TP2
BTC-USD,CRYPTO_SPOT,1h,retest_limit,BREAKOUT,SHORT,TREND_DOWN,EXPANSION,False,0.2792284244482208,0.32892460032139326,0.5624868363958179,0.1924796591633299,6.080420856469226,0.32892460032139326,TP2
BTC-USD,CRYPTO_SPOT,1h,structure_confirmed_retest,BREAKOUT,SHORT,TREND_DOWN,EXPANSION,False,0.19253748256883868,0.23879538469369788,0.45651715763534023,0.2472466300700439,6.522805102690287,0.23879538469369788,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,BREAKOUT,SHORT,TREND_DOWN,EXPANSION,False,0.22386973390605333,0.26571657560692635,0.32603617418795605,0.3140700957383335,6.92030472606567,0.26571657560692635,TP2
BTC-USD,CRYPTO_SPOT,1h,retest_limit,BREAKOUT,SHORT,TREND_DOWN,EXPANSION,False,0.256054079488255,0.2994635925422589,0.3740249690018519,0.2892465275181934,6.678608184124333,0.2994635925422589,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,SWEEP_RECLAIM,LONG,TREND_DOWN,EXPANSION,True,0.5180839977309687,0.5838636868947276,0.6312365567924899,0.21214366895202327,3.5060678954488433,0.5838636868947276,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,SWEEP_RECLAIM,SHORT,RANGE,EXPANSION,False,-1.5276657662300859,-1.0,0.2253151544436227,1.088043300933388,0.4583980079021829,2.1970668382025473,STOP
BTC-USD,CRYPTO_SPOT,1h,retest_limit,SWEEP_RECLAIM,SHORT,RANGE,EXPANSION,False,-1.4928035000524584,-1.0,0.1445131320802099,1.0822373850062332,0.4907606650422848,1.9862398805656223,STOP
BTC-USD,CRYPTO_SPOT,1h,trigger_close,SWEEP_RECLAIM,SHORT,RANGE,EXPANSION,False,-1.3523343462360393,-1.0,0.12061028010644155,1.0027709686431565,0.7075808299565304,1.5438029052415374,STOP
BTC-USD,CRYPTO_SPOT,1h,retest_limit,SWEEP_RECLAIM,SHORT,RANGE,EXPANSION,False,-1.454517520611292,-1.0,0.44468722557927787,1.0035723240026575,0.5488539927648332,2.2794626524797112,STOP
BTC-USD,CRYPTO_SPOT,1h,structure_confirmed_retest,SWEEP_RECLAIM,SHORT,RANGE,EXPANSION,False,-1.3662544636619023,-1.0,0.16475834228574132,1.00288013495916,0.6807612560211346,1.6440196985604596,STOP
BTC-USD,CRYPTO_SPOT,1h,trigger_close,SWEEP_RECLAIM,SHORT,TREND_UP,EXPANSION,False,-1.2786299197828024,-1.0,0.22876271951205712,1.2329095740460725,0.9974529780643718,1.262360617068632,STOP
BTC-USD,CRYPTO_SPOT,1h,retest_limit,SWEEP_RECLAIM,SHORT,TREND_UP,EXPANSION,False,-1.5246818523093115,-1.0,0.9646548429220189,1.4378513443776417,0.5305826994368873,2.522755032641187,STOP
BTC-USD,CRYPTO_SPOT,1h,trigger_close,BREAKOUT,LONG,TREND_UP,NORMAL,True,0.30419341114308446,0.4368844762105254,1.2795962915934298,0.008482423406141524,2.25421121275012,0.4368844762105254,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,BREAKOUT,LONG,TREND_UP,NORMAL,False,0.43047469473936933,0.49690626613516437,0.6416116691733571,0.5905161695490999,4.046874847071211,0.49690626613516437,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,BREAKOUT,LONG,TREND_UP,NORMAL,False,0.5305670344839428,0.6225071037035586,0.7788714993995908,0.3816380549868586,3.270792538164075,0.6225071037035586,TP2
BTC-USD,CRYPTO_SPOT,1h,retest_limit,BREAKOUT,LONG,TREND_UP,NORMAL,False,0.5140396324647118,0.6050196325665318,0.7600988013167391,0.38816372145775024,3.3056778529910966,0.6050196325665318,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,SWEEP_RECLAIM,SHORT,TREND_UP,NORMAL,False,-1.3017775057053598,-1.0,0.992753841676588,2.83645164127555,1.0130289658620921,1.4478854436897288,STOP
BTC-USD,CRYPTO_SPOT,1h,retest_limit,SWEEP_RECLAIM,SHORT,TREND_UP,NORMAL,False,-1.5058330339768327,-1.0,2.3357612653325175,4.074119905080336,0.6051744123391619,3.097626748601056,STOP
BTC-USD,CRYPTO_SPOT,1h,structure_confirmed_retest,SWEEP_RECLAIM,SHORT,TREND_UP,NORMAL,False,-1.3587806574648504,-1.0,1.3679245446380532,3.1821957260704963,0.8525260519903578,1.9087426170501607,STOP
BTC-USD,CRYPTO_SPOT,1h,trigger_close,PULLBACK,LONG,TREND_UP,NORMAL,True,0.49111907570309515,0.8634069321564003,4.001795748800303,0.11063982903304849,0.9589230927410145,0.8634069321564003,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,BREAKOUT,LONG,TREND_UP,NORMAL,True,0.40327313754915894,0.479514300520432,0.6566062584940285,0.13564507490805833,3.9671129484153633,0.479514300520432,TP2
